orth_id	hESC_rep1	hESC_rep2	hESC_rep3	mESC_rep1	mESC_rep2	mESC_rep3
ENSG00000158008__ENSMUSG00000028838	53	57	42	283	180	324
ENSG00000158014__ENSMUSG00000028836	65	58	37	1360	592	898
ENSG00000158022__ENSMUSG00000028834	2	2	1	122	77	185
ENSG00000175087__ENSMUSG00000050890	136	74	232	257	317	374
ENSG00000197245__ENSMUSG00000050105	26	20	29	5	10	12
ENSG00000142684__ENSMUSG00000028840	27	27	25	35	37	30
ENSG00000142675__ENSMUSG00000028841	607	713	582	19	15	22
ENSG00000188782__ENSMUSG00000048003	44	35	22	0	0	0
ENSG00000130695__ENSMUSG00000037443	4868	4551	4135	1402	1332	1555
ENSG00000142669__ENSMUSG00000028843	2654	3867	3024	1245	978	928
ENSG00000158062__ENSMUSG00000012126	746	766	668	218	210	277
ENSG00000169442__ENSMUSG00000000682	57	62	36	2	3	5
ENSG00000176092__ENSMUSG00000012123	1144	1127	790	320	273	429
ENSG00000131914__ENSMUSG00000050966	129985	127653	111909	1972	1571	1702
ENSG00000117682__ENSMUSG00000012117	3697	3780	2971	564	603	586
ENSG00000198830__ENSMUSG00000070713	12591	15591	15009	126	91	100
ENSG00000198830__ENSMUSG00000003038	12591	15591	15009	1182	1335	1172
ENSG00000117676__ENSMUSG00000003644	5887	5659	4205	5490	4834	5028
ENSG00000117713__ENSMUSG00000007880	10948	11597	11913	4179	4569	4252
ENSG00000060642__ENSMUSG00000043257	673	564	554	356	342	401
ENSG00000204160__ENSMUSG00000037553	3382	3243	2600	1297	1136	1254
ENSG00000175793__ENSMUSG00000047281	863	642	614	2814	2284	1885
ENSG00000142751__ENSMUSG00000028848	1995	2166	1950	448	410	367
ENSG00000198746__ENSMUSG00000028850	1576	1630	1409	215	232	212
ENSG00000090273__ENSMUSG00000028851	13126	14979	12940	3790	3779	3705
ENSG00000131910__ENSMUSG00000037583	4	2	0	0	1	1
ENSG00000175707__ENSMUSG00000037600	1196	1198	950	82	42	58
ENSG00000253368__ENSMUSG00000056596	1990	2173	1848	154	113	157
ENSG00000158246__ENSMUSG00000046694	7801	7827	7190	73	74	76
ENSG00000090020__ENSMUSG00000028854	2520	2720	2619	1248	1048	1285
ENSG00000142784__ENSMUSG00000037622	1617	1853	1479	2426	2359	2715
ENSG00000186501__ENSMUSG00000028857	2090	2312	1813	935	890	1016
ENSG00000206888__ENSMUSG00000065678	2	3	0	0	0	0
ENSG00000142765__ENSMUSG00000028860	318	418	294	206	139	181
ENSG00000142733__ENSMUSG00000028862	723	690	496	114	160	137
ENSG00000174950__ENSMUSG00000028865	54	65	40	43	37	62
